"nama","ukuran_layar","memori_internal","kamera_belakang","kapasitas_baterai","harga"
Xiaomi 13T,6.67 inch,256 GB,50MP,5000mAh,6499000
vivo Y17s,6.56 inch,128 GB,50MP,5000mAh,1799000
realme 11,6.4 inch,256 GB,108MP,5000mAh,3599000
Samsung Galaxy z Flip5,3.7 inch,512 GB,12MP,3700mAh,15000000
Infinix Hot 30 Play,6.82 inch,64 GB,16MP,6000mAh,1250000
Poco F5,6.67 inch,256 GB,64MP,5000mAh,4975000
Realme C53 NFC,6.74 inch,128 GB,50MP,5000mAh,1999000
Oppo Find N2 Flip,6.8 inch,256 GB,50MP,4300mAh,12150000
Vivo V27 5G,6.78 inch,256 GB,50MP,4600mAh,4999000
Vivo V27e,6.62 inch,256 GB,64MP,4600mAh,3550000
